bin_lower,bin_upper,n,avg_confidence,avg_accuracy,gap,weight,overconfident
0.0,0.1,1,0.0519,1.0,0.9481,0.0008,False
0.1,0.2,4,0.1713,0.25,0.0787,0.0033,False
0.2,0.3,322,0.2499,0.7826,0.5327,0.2695,False
0.3,0.4,1,0.3136,0.0,0.3136,0.0008,True
0.4,0.5,2,0.4502,0.0,0.4502,0.0017,True
0.5,0.6,7,0.549,0.4286,0.1204,0.0059,True
0.6,0.7,3,0.6502,0.6667,0.0165,0.0025,False
0.7,0.8,4,0.7571,0.25,0.5071,0.0033,True
0.8,0.9,13,0.8541,0.3846,0.4695,0.0109,True
0.9,1.0,838,0.9987,0.8055,0.1932,0.7013,True
