bin_lower,bin_upper,n,avg_confidence,avg_accuracy,gap,weight,overconfident
0.0,0.1,4,0.0166,0.0,0.0166,0.0034,True
0.1,0.2,1,0.1448,0.0,0.1448,0.0008,True
0.2,0.3,5,0.2516,0.2,0.0516,0.0042,True
0.3,0.4,4,0.3601,0.25,0.1101,0.0034,True
0.4,0.5,14,0.4719,0.3571,0.1148,0.0117,True
0.5,0.6,18,0.5614,0.5556,0.0059,0.0151,True
0.6,0.7,31,0.649,0.2903,0.3587,0.026,True
0.7,0.8,35,0.7533,0.3429,0.4104,0.0293,True
0.8,0.9,45,0.8497,0.3778,0.4719,0.0377,True
0.9,1.0,1036,0.9941,0.7346,0.2595,0.8684,True
